mz	H/C	O/C
214.144867	1.909090909	0.272727273
215.001968	1	0.625
215.034982	0.666666667	0.333333333
215.046216	0.727272727	0.272727273
215.056112	1.333333333	0.666666667
215.071368	0.923076923	0.230769231
215.092497	1.6	0.5
215.128883	1.818181818	0.363636364
215.165268	2	0.25
216.030231	0.636363636	0.363636364
216.066617	0.916666667	0.25
216.103002	1.153846154	0.153846154
217.014247	0.545454545	0.454545455
217.050632	0.833333333	0.333333333
217.061866	0.909090909	0.272727273
217.071762	1.555555556	0.666666667
217.087018	1.076923077	0.230769231
217.108147	1.8	0.5
218.045881	0.818181818	0.363636364
218.082267	1.083333333	0.25
218.103396	1.888888889	0.555555556
219.029897	0.727272727	0.454545455
219.04113	0.8	0.4
219.066282	1	0.333333333
219.087412	1.777777778	0.666666667
220.025146	0.7	0.5
220.061531	1	0.363636364
220.082661	1.875	0.75
220.097917	1.25	0.25
220.991403	0.6	0.4
221.009161	0.6	0.6
221.020395	0.666666667	0.555555556
221.045547	0.909090909	0.454545455
221.060803	0.666666667	0.133333333
221.081932	1.166666667	0.333333333
221.118318	1.384615385	0.230769231
221.154703	1.571428571	0.142857143
222.040796	0.9	0.5
222.056052	0.642857143	0.142857143
222.077181	1.181818182	0.363636364
222.113567	1.416666667	0.25
223.024812	0.8	0.6
223.040068	0.571428571	0.214285714
223.061197	1.090909091	0.454545455
223.07243	1.2	0.4
223.097583	1.333333333	0.333333333
223.108816	1.454545455	0.272727273
224.002302	0.777777778	0.444444444
224.02006	0.777777778	0.666666667
224.056446	1.1	0.5
224.071702	0.785714286	0.142857143
225.004076	0.666666667	0.777777778
225.040462	1	0.6
225.055718	0.714285714	0.214285714
225.076847	1.272727273	0.454545455
225.08808	1.4	0.4
225.092103	0.933333333	0.133333333
225.113233	1.5	0.333333333
225.149618	1.692307692	0.230769231
226.050967	0.692307692	0.230769231
226.072096	1.3	0.5
227.034982	0.615384615	0.307692308
227.056112	1.2	0.6
227.071368	0.857142857	0.214285714
227.074739	1.454545455	0.272727273
227.092497	1.454545455	0.454545455
227.103731	1.6	0.4
227.128883	1.666666667	0.333333333
227.165268	1.846153846	0.230769231
227.201654	2	0.142857143
228.030231	0.583333333	0.333333333
228.066617	0.846153846	0.230769231
228.160517	1.916666667	0.25
229.050632	0.769230769	0.307692308
229.071762	1.4	0.6
229.108147	1.636363636	0.454545455
229.144533	1.833333333	0.333333333
230.045881	0.75	0.333333333
230.082267	1	0.230769231
230.118652	1.214285714	0.142857143
231.029897	0.666666667	0.416666667
231.04113	0.727272727	0.363636364
231.066282	0.923076923	0.307692308
231.087412	1.6	0.6
231.102668	1.142857143	0.214285714
231.160183	2	0.333333333
232.025146	0.636363636	0.454545455
232.061531	0.916666667	0.333333333
232.097917	1.153846154	0.230769231
232.119046	1.9	0.5
232.134302	1.357142857	0.142857143
232.991403	0.545454545	0.363636364
233.009161	0.545454545	0.545454545
233.045547	0.833333333	0.416666667
233.081932	1.076923077	0.307692308
233.118318	1.285714286	0.214285714
233.154703	1.466666667	0.133333333
234.040796	0.818181818	0.454545455
234.077181	1.083333333	0.333333333
234.113567	1.307692308	0.230769231
235.007053	0.727272727	0.363636364
235.024812	0.727272727	0.545454545
235.061197	1	0.416666667
235.064568	1.777777778	0.555555556
235.097583	1.230769231	0.307692308
235.108816	1.333333333	0.25
235.133968	1.428571429	0.214285714
236.02006	0.7	0.6
236.035317	0.5	0.214285714
236.056446	1	0.454545455
236.092832	1.25	0.333333333
236.129217	1.461538462	0.230769231
237.004076	0.6	0.7
237.040462	0.909090909	0.545454545
237.055718	0.666666667	0.2
237.076847	1.166666667	0.416666667
237.113233	1.384615385	0.307692308
237.124466	1.5	0.25
237.149618	1.571428571	0.214285714
238.017952	0.9	0.4
238.035711	0.9	0.6
238.050967	0.642857143	0.214285714
238.072096	1.181818182	0.454545455
239.019726	0.8	0.7
239.034982	0.571428571	0.285714286
239.056112	1.090909091	0.545454545
239.067345	1.2	0.5
239.071368	0.8	0.2
239.092497	1.333333333	0.416666667
239.128883	1.538461538	0.307692308
239.140116	1.666666667	0.25
239.165268	1.714285714	0.214285714
240.030231	0.538461538	0.307692308
240.066617	0.785714286	0.214285714
241.014247	0.461538462	0.384615385
241.050632	0.714285714	0.285714286
241.071762	1.272727273	0.545454545
241.087018	0.933333333	0.2
241.108147	1.5	0.416666667
241.119381	1.636363636	0.363636364
241.144533	1.692307692	0.307692308
241.180918	1.857142857	0.214285714
241.217304	2	0.133333333
241.976482	0.625	0.75
242.045881	0.692307692	0.307692308
242.082267	0.928571429	0.214285714
242.155038	1.3125	0.0625
242.176167	1.923076923	0.230769231
243.029897	0.615384615	0.384615385
243.066282	0.857142857	0.285714286
243.069654	1.454545455	0.363636364
243.077516	0.923076923	0.230769231
243.087412	1.454545455	0.545454545
243.123797	1.666666667	0.416666667
243.160183	1.846153846	0.307692308
243.196568	2	0.214285714
244.061531	0.846153846	0.307692308
244.082661	1.5	0.6
244.097917	1.071428571	0.214285714
244.119046	1.727272727	0.454545455
244.134302	1.266666667	0.133333333
245.045547	0.769230769	0.384615385
245.048918	1.4	0.5
245.05678	0.833333333	0.333333333
245.081932	1	0.285714286
245.093166	1.076923077	0.230769231
245.103062	1.636363636	0.545454545
245.118318	1.2	0.2
245.139447	1.833333333	0.416666667
246.040796	0.75	0.416666667
246.077181	1	0.307692308
246.113567	1.214285714	0.214285714
247.024812	0.666666667	0.5
247.036045	0.727272727	0.454545455
247.061197	0.923076923	0.384615385
247.07243	1	0.333333333
247.097583	1.142857143	0.285714286
247.108816	1.230769231	0.230769231
247.118712	1.818181818	0.545454545
247.133968	1.333333333	0.2
247.170354	1.5	0.125
248.02006	0.636363636	0.545454545
248.056446	0.916666667	0.416666667
248.092832	1.153846154	0.307692308
248.129217	1.357142857	0.214285714
249.040462	0.833333333	0.5
249.076847	1.076923077	0.384615385
249.08808	1.166666667	0.333333333
249.113233	1.285714286	0.285714286
249.149618	1.466666667	0.2
249.186004	1.625	0.125
250.035711	0.818181818	0.545454545
250.050967	0.6	0.2
250.072096	1.083333333	0.416666667
250.108482	1.307692308	0.307692308
250.144867	1.5	0.214285714
251.019726	0.727272727	0.636363636
251.034982	0.533333333	0.266666667
251.056112	1	0.5
251.071368	0.75	0.1875
251.092497	1.230769231	0.384615385
251.095868	2	0.5
251.128883	1.428571429	0.285714286
251.165268	1.6	0.2
252.066617	0.733333333	0.2
252.124132	1.461538462	0.307692308
253.035376	0.909090909	0.636363636
253.050632	0.666666667	0.266666667
253.06926	0.875	0.0625
253.071762	1.166666667	0.5
253.082995	1.272727273	0.454545455
253.087018	0.875	0.1875
253.108147	1.384615385	0.384615385
253.144533	1.571428571	0.285714286
253.217304	1.875	0.125
254.045881	0.642857143	0.285714286
254.103396	1.416666667	0.416666667
255.014641	0.8	0.8
255.029897	0.571428571	0.357142857
255.06226	1.2	0.6
255.066282	0.8	0.266666667
255.087412	1.333333333	0.5
255.123797	1.538461538	0.384615385
255.139053	1.176470588	0.117647059
255.160183	1.714285714	0.285714286
255.232954	2	0.125
256.025146	0.538461538	0.384615385
